Metadata_matrix,Metadata_id,Metadata_condition,Metadata_dose,Track_Sector,mean directionality,sem directionality,mean speed,sem speed,mean xFMI,sem xFMI,mean yFMI,sem yFMI,n,n_per_experiment,fraction per sector in %
HEM,E4,CP17,5,2,0.2836124158147975,0.1633702165472011,-0.4150234588739727,0.15714548663311353,1.517006176906603,0.13329548008944347,-0.1445584341869408,0.11488351417784927,40,198,0.20202020202020202
HEM,E4,CP17,5,3,0.3578504611104328,0.14789561671610202,-0.5242746119181299,0.1768158672142763,0.1870857899523937,0.10656357707031495,1.1640408441666614,0.11784351874185654,57,198,0.2878787878787879
HEM,E4,CP17,5,4,0.260424432015928,0.17076994748906893,-0.6731231819308342,0.1524238356627326,0.1666054750474323,0.1112049026100798,-1.3111209916061775,0.14092494005979397,37,198,0.18686868686868688
HEM,E4,CP17,50,1,0.3622759315091422,0.16076505200467378,-0.418718527767107,0.18754547456362008,-1.0737087939755754,0.13853693725591812,0.05722773594846853,0.09756619677582541,43,104,0.41346153846153844
HEM,E4,CP17,50,2,0.1261541425382284,0.22043650171042248,0.12368423802203175,0.2610749638848683,1.4072028209901906,0.19634935244987817,-0.20004993485335426,0.11794216484009538,20,104,0.19230769230769232
HEM,E4,CP17,50,3,0.13119597399277091,0.23558116835142945,-0.589407434059019,0.20954134341443928,-0.0695425284218526,0.14671543945325577,0.9759893754456354,0.17876297057199372,27,104,0.25961538461538464
HEM,E4,CP17,50,4,0.43383714728461403,0.3612810692813532,-0.38667377083119164,0.3772578725855135,0.06691124499639424,0.19804731556188165,-1.4429062456506527,0.30899143338368384,14,104,0.1346153846153846
HEM,E5,CP17,5,1,-0.36147763465529026,0.10187888366660405,-0.35733590897198747,0.10202870532793724,-0.6292627896163345,0.07042946909562335,0.00583680307058083,0.07229994154032435,50,138,0.36231884057971014
HEM,E5,CP17,5,2,-0.25962325886192883,0.17290419418037936,-0.38623260836932405,0.18679575386020286,1.0372522661147625,0.12237881123922556,-0.02485042406487664,0.12127834945399539,22,138,0.15942028985507245
HEM,E5,CP17,5,3,-0.08460035855391969,0.13494159836638198,-0.20067805777742143,0.13394244332305125,-0.03920763591141485,0.09575148696070686,0.9872352902924615,0.09097193890779326,35,138,0.2536231884057971
HEM,E5,CP17,5,4,-0.07564053646411868,0.15414823249157025,-0.15750352765319883,0.16459189718055706,0.0925972658234413,0.09198467489703904,-1.067924715720209,0.10563276881147335,31,138,0.2246376811594203
HEM,E5,CP17,50,1,-0.15545728207320522,0.12238282828441674,-0.13474798545738018,0.1003390946420671,-0.8165847202060695,0.09046586959676059,-0.1306135565359016,0.06581160435385003,47,162,0.29012345679012347
HEM,E5,CP17,50,2,0.15730958141923695,0.1423694544986139,0.024684359482252633,0.11894373273682901,1.3511247114708151,0.10237410767676826,0.06126943537385045,0.1104505081336765,34,162,0.20987654320987653
HEM,E5,CP17,50,3,-0.01378837519458634,0.1357569296438803,-0.05960427508117653,0.11995740794414819,0.05440876129334374,0.08931073663567919,1.0452467801679937,0.09597565077745117,43,162,0.2654320987654321
HEM,E5,CP17,50,4,-0.09876871866496996,0.1592729132837541,-0.3275592439295015,0.11594420956558066,0.09467111118086367,0.09707964518286133,-1.0125934673150307,0.11007410650850977,38,162,0.2345679012345679
HEM,E6,CP17,5,1,-0.14403856421215155,0.10862907349103837,0.010614834269793566,0.12484103025936977,-0.7624153993320523,0.06991339425568842,-0.09506306327032914,0.06041530989649782,73,155,0.47096774193548385
HEM,E6,CP17,5,2,-0.41245710150059245,0.2045940750203102,-0.21839069067418782,0.15358514167712206,1.2555492685198721,0.12748270745896972,-0.32035669172352665,0.10177732012378728,20,155,0.12903225806451613
HEM,E6,CP17,5,3,-0.053048267623150396,0.1939248141239486,0.11645287933215462,0.19419530694791906,0.043853260022397776,0.1045209517770928,0.9399618031670632,0.1189025696357471,34,155,0.21935483870967742
HEM,E6,CP17,5,4,-0.20380779937350502,0.2067828220327073,0.01951172723044175,0.22567210699654214,0.21188128479781362,0.11111587189617744,-1.2101210380284508,0.12749150176941954,28,155,0.18064516129032257
HEM,E6,CP17,50,1,-0.48167667211224463,0.1336398958211564,0.09534172406984025,0.12563807957947615,-0.5475514137932058,0.08252491443612991,-0.23186094907566185,0.07045572684778542,45,113,0.39823008849557523
HEM,E6,CP17,50,2,-0.9687347979419186,0.15395281159242574,-0.37395982294911817,0.13417831731482738,0.8957623498143974,0.0946624984184413,-0.06542018300898583,0.06917702024316155,25,113,0.22123893805309736
HEM,E6,CP17,50,3,-0.4317295859125613,0.2182333304860566,0.015494457674376275,0.12010890585190427,0.0708027057922804,0.10382668125896619,0.7075861245112663,0.1299043769538788,28,113,0.24778761061946902
HEM,E6,CP17,50,4,-0.756958260070965,0.22537175586082045,0.26177273166731435,0.29375073931287876,0.2861956539763811,0.11347745848471426,-0.8787718885247844,0.13440379364656266,15,113,0.13274336283185842
HEM,F1,SP17,5,1,0.26944486628132697,0.15367163386731594,-0.07401302862385019,0.10693341432869344,-1.163168162317796,0.10082771990275993,0.07026366795116175,0.11803823275246582,31,85,0.36470588235294116
HEM,F1,SP17,5,2,-0.11985645805811457,0.2749490898251731,0.16469539635181824,0.2236262622586736,0.8545843764735958,0.19034463441565228,0.20944678328027486,0.13614348690188224,14,85,0.16470588235294117
HEM,F1,SP17,5,3,-0.22390558594753085,0.1779531063209825,-0.10482486066699781,0.0923127671864705,-0.22479835988928287,0.09481808038465848,1.0932474678543007,0.14730322045561986,25,85,0.29411764705882354
